"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_149362		not available
Rana_pipiens_Transcript_149445		not available
Rana_pipiens_Transcript_149471	6.87E-163	AGENCOURT_39798950 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7767975 5', mRNA sequence
Rana_pipiens_Transcript_150581	3.498E-106	AGENCOURT_54836023 NICHD_XGC_Emb9 Xenopus laevis cDNA clone IMAGE:7974647 5', mRNA sequence
Rana_pipiens_Transcript_151467	7.653E-144	AGENCOURT_10465328 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6631626 5', mRNA sequence
Rana_pipiens_Transcript_152711	7.039E-54	BP691985 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL467a04ex 5', mRNA sequence
Rana_pipiens_Transcript_152819		not available
Rana_pipiens_Transcript_153303	4.189E-150	AGENCOURT_14233624 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6958378 5', mRNA sequence
Rana_pipiens_Transcript_153459		not available
Rana_pipiens_Transcript_153728		not available
Rana_pipiens_Transcript_153840	1.301E-69	AGENCOURT_14149135 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6949713 5', mRNA sequence
Rana_pipiens_Transcript_154165	9.549E-101	AGENCOURT_14292475 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6954549 5', mRNA sequence
Rana_pipiens_Transcript_154292	1.419E-12	da93e02.y1 Xenopus laevis tadpole stage 24 Xenopus laevis cDNA 5' similar to TR:O14498 O14498 ISLR PRECURSOR, mRNA sequence
Rana_pipiens_Transcript_154482	5.16E-168	AGENCOURT_10496892 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6643521 5', mRNA sequence
Rana_pipiens_Transcript_154559	0	AGENCOURT_11041526 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6865662 5', mRNA sequence
Rana_pipiens_Transcript_154696	6.864E-120	AGENCOURT_55791468 NICHD_XGC_FaBN Xenopus laevis cDNA clone IMAGE:8075572 5', mRNA sequence
Rana_pipiens_Transcript_154697	6.869E-120	AGENCOURT_55791468 NICHD_XGC_FaBN Xenopus laevis cDNA clone IMAGE:8075572 5', mRNA sequence
Rana_pipiens_Transcript_156053	8.83E-31	BP680936 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL436e16ex 5', mRNA sequence
Rana_pipiens_Transcript_156075	1.944E-120	AGENCOURT_86401731 NICHD_XGC_bone Xenopus laevis cDNA clone IMAGE:8742539 5', mRNA sequence
Rana_pipiens_Transcript_156525	9.616E-130	AGENCOURT_14216832 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6945700 5', mRNA sequence
Rana_pipiens_Transcript_157005		not available
Rana_pipiens_Transcript_157351	9.959E-80	AGENCOURT_31519985 NICHD_XGC_Te2 Xenopus laevis cDNA clone IMAGE:7390745 3', mRNA sequence
Rana_pipiens_Transcript_157636	3.236E-51	xl11025F09R_1376267 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11025F09 3', mRNA sequence
Rana_pipiens_Transcript_157717	2.503E-11	AGENCOURT_55800758 NICHD_XGC_FaB Xenopus laevis cDNA clone IMAGE:8070482 5', mRNA sequence
Rana_pipiens_Transcript_157978	3.427E-157	AGENCOURT_89911538 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8824648 5', mRNA sequence
Rana_pipiens_Transcript_158725	2.328E-147	AGENCOURT_14234997 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6957646 5', mRNA sequence
Rana_pipiens_Transcript_158757	7.461E-41	DC038614 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk109e16ex 5', mRNA sequence
Rana_pipiens_Transcript_158762	7.442E-41	DC038614 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk109e16ex 5', mRNA sequence
Rana_pipiens_Transcript_159047	4.804E-58	AGENCOURT_26189339 Blumberg_Cho dorsal blastopore lip Xenopus laevis cDNA clone IMAGE:7297261 3', mRNA sequence
Rana_pipiens_Transcript_159247	1.21E-88	daf90h09.y1 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:4757608 5' similar to SW:P531_HUMAN Q12888 P53-BINDING PROTEIN 1, mRNA sequence
Rana_pipiens_Transcript_160609	2.9E-73	AGENCOURT_15594712 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:7018839 5', mRNA sequence
Rana_pipiens_Transcript_160611	1.79E-71	AGENCOURT_15594712 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:7018839 5', mRNA sequence
Rana_pipiens_Transcript_160654		not available
Rana_pipiens_Transcript_161142	1.928E-145	AGENCOURT_90755115 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8823825 5', mRNA sequence
Rana_pipiens_Transcript_161506	4.042E-105	BX844886 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGp998M1810590; IMAGE:4743353 5', mRNA sequence
Rana_pipiens_Transcript_162206		not available
Rana_pipiens_Transcript_163060	2.63E-73	be19d05.s1 Xenopus EST library Xenopus laevis cDNA clone be19d05 5', mRNA sequence
Rana_pipiens_Transcript_163860		not available
Rana_pipiens_Transcript_165436	1.188E-121	AGENCOURT_10747841 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6327074 5', mRNA sequence
Rana_pipiens_Transcript_166206		not available
Rana_pipiens_Transcript_166353	0	DC063049 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk156l18ex 5', mRNA sequence
Rana_pipiens_Transcript_166360	0	DC063049 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk156l18ex 5', mRNA sequence
Rana_pipiens_Transcript_166500	7.386E-180	AGENCOURT_14149860 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6949942 5', mRNA sequence
Rana_pipiens_Transcript_167347	4.351E-89	DC075023 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone rxl252o13 3', mRNA sequence
Rana_pipiens_Transcript_167393	2.64E-63	BJ069522 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL053g08 5', mRNA sequence
Rana_pipiens_Transcript_167408	3.037E-13	BX852137 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGp998C109322; IMAGE:4055361 5', mRNA sequence
Rana_pipiens_Transcript_167604	5.244E-66	BX848603 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGp998H1010584; IMAGE:4740921 5', mRNA sequence
Rana_pipiens_Transcript_168236	2.001E-174	BX854506 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGp998C118304; IMAGE:3402562 5', mRNA sequence
Rana_pipiens_Transcript_168320	5.492E-112	AGENCOURT_70310626 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:8330375 5', mRNA sequence
Rana_pipiens_Transcript_168782	0	AGENCOURT_10491450 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6636917 5', mRNA sequence
Rana_pipiens_Transcript_169140	6.382E-119	AGENCOURT_14247342 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6957428 5', mRNA sequence
Rana_pipiens_Transcript_169535	4.023E-152	AGENCOURT_8510663 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4684178 5', mRNA sequence
Rana_pipiens_Transcript_169652	4.133E-119	xl11011B01R_1374662 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11011B01 3', mRNA sequence
Rana_pipiens_Transcript_170057		not available
Rana_pipiens_Transcript_170340	1.318E-108	AGENCOURT_8216880 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4930360 5', mRNA sequence
Rana_pipiens_Transcript_170463		not available
Rana_pipiens_Transcript_170615		not available
Rana_pipiens_Transcript_170620		not available
Rana_pipiens_Transcript_172086	1.383E-48	AGENCOURT_11247254 NICHD_XGC_Tad2 Xenopus laevis cDNA clone IMAGE:6874742 5', mRNA sequence
Rana_pipiens_Transcript_172184		not available
Rana_pipiens_Transcript_172662		not available
Rana_pipiens_Transcript_172733		not available
Rana_pipiens_Transcript_172895	2.662E-118	AGENCOURT_11375292 NICHD_XGC_Tad1 Xenopus laevis cDNA clone IMAGE:6879262 5', mRNA sequence
Rana_pipiens_Transcript_172922	1.74E-121	AGENCOURT_11375292 NICHD_XGC_Tad1 Xenopus laevis cDNA clone IMAGE:6879262 5', mRNA sequence
Rana_pipiens_Transcript_173590	2.303E-111	AGENCOURT_14165799 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6953340 5', mRNA sequence
Rana_pipiens_Transcript_173603		not available
Rana_pipiens_Transcript_174240	0	AGENCOURT_11043350 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6865686 5', mRNA sequence
Rana_pipiens_Transcript_174241	0	AGENCOURT_11043350 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6865686 5', mRNA sequence
Rana_pipiens_Transcript_174437		not available
Rana_pipiens_Transcript_174445		not available
Rana_pipiens_Transcript_174863		not available
Rana_pipiens_Transcript_174873	1.448E-148	BP691300 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL464c04ex 5', mRNA sequence
Rana_pipiens_Transcript_174874	1.453E-148	BP691300 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL464c04ex 5', mRNA sequence
Rana_pipiens_Transcript_175087		not available
Rana_pipiens_Transcript_175586	4.595E-162	BP681627 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL438e24ex 5', mRNA sequence
Rana_pipiens_Transcript_176285		not available
Rana_pipiens_Transcript_176286	4.317E-151	AGENCOURT_8096136 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5543099 5', mRNA sequence
Rana_pipiens_Transcript_176854	2.327E-38	AGENCOURT_69679623 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:8329500 5', mRNA sequence
Rana_pipiens_Transcript_177163	9.471E-151	AGENCOURT_15594199 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:7019551 5', mRNA sequence
Rana_pipiens_Transcript_177175	9.036E-115	AGENCOURT_14238616 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6957786 5', mRNA sequence
Rana_pipiens_Transcript_177283		not available
Rana_pipiens_Transcript_177287	3.687E-142	BP696323 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL407a20ex 5', mRNA sequence
Rana_pipiens_Transcript_178190		not available
Rana_pipiens_Transcript_178237		not available
Rana_pipiens_Transcript_178284	1.992E-134	AGENCOURT_8097219 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5542761 5', mRNA sequence
Rana_pipiens_Transcript_178321		not available
Rana_pipiens_Transcript_178597	7.081E-16	AGENCOURT_12925568 NICHD_XGC_Te1 Xenopus laevis cDNA clone IMAGE:6930539 5', mRNA sequence
Rana_pipiens_Transcript_179488	4.502E-129	AGENCOURT_10253744 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:5085087 5', mRNA sequence
Rana_pipiens_Transcript_179515		not available
Rana_pipiens_Transcript_179953	7.397E-116	DC102727 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl230d04 5', mRNA sequence
Rana_pipiens_Transcript_179955	7.387E-116	DC102727 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl230d04 5', mRNA sequence
Rana_pipiens_Transcript_180940	3.463E-140	DC036337 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk102d09ex 5', mRNA sequence
Rana_pipiens_Transcript_180972		not available
Rana_pipiens_Transcript_181251	8.713E-169	AGENCOURT_75548054 NICHD_XGC_thy Xenopus laevis cDNA clone IMAGE:8550931 5', mRNA sequence
Rana_pipiens_Transcript_181722	1.401E-95	DC106102 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl241d11 5', mRNA sequence
Rana_pipiens_Transcript_183080	0.141783	AGENCOURT_8148524 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5541856 5', mRNA sequence
Rana_pipiens_Transcript_184735	6.658E-106	AGENCOURT_10305832 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:5079573 5', mRNA sequence
Rana_pipiens_Transcript_185756	1.19E-84	AGENCOURT_10493260 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6641998 5', mRNA sequence
Rana_pipiens_Transcript_185875	1.796E-8	AGENCOURT_14144541 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6948608 3', mRNA sequence
Rana_pipiens_Transcript_185883	2.628E-120	AGENCOURT_14144206 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6948972 5', mRNA sequence
Rana_pipiens_Transcript_186213	1.255E-125	BX849375 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGp998J0711133; IMAGE:5048934 5', mRNA sequence
Rana_pipiens_Transcript_186775	3.199E-116	AGENCOURT_14166569 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6952955 5', mRNA sequence
Rana_pipiens_Transcript_188037	2.514E-104	AGENCOURT_13324718 NICHD_XGC_Tad2 Xenopus laevis cDNA clone IMAGE:6875740 3', mRNA sequence
Rana_pipiens_Transcript_188208	1.221E-129	BX853238 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGp998N2411131; IMAGE:5048279 5', mRNA sequence
Rana_pipiens_Transcript_188368		not available
Rana_pipiens_Transcript_188831	5.428E-49	U95101 Xenopus laevis mitotic phosphoprotein cDNA Xenopus laevis cDNA clone MP75 5', mRNA sequence
Rana_pipiens_Transcript_189228	1.969E-100	BP672894 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL412c19ex 5', mRNA sequence
Rana_pipiens_Transcript_190641		not available
Rana_pipiens_Transcript_190691	1.821E-137	AGENCOURT_10256285 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:5157210 5', mRNA sequence
Rana_pipiens_Transcript_191552		not available
Rana_pipiens_Transcript_191575	2.075E-88	AGENCOURT_14233583 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6958977 5', mRNA sequence
Rana_pipiens_Transcript_192058	6.778E-153	AGENCOURT_10495993 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6641089 5', mRNA sequence
Rana_pipiens_Transcript_192542	8.424E-99	DC013927 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk135o03ex 3', mRNA sequence
Rana_pipiens_Transcript_193338		not available
Rana_pipiens_Transcript_193342		not available
Rana_pipiens_Transcript_193639		not available
Rana_pipiens_Transcript_194406		not available
Rana_pipiens_Transcript_195567	2.47465	dc51e06.y1 NICHD_XGC_Emb3 Xenopus laevis cDNA clone IMAGE:3400786 5' similar to SW:TBB2_HUMAN P05217 TUBULIN BETA-2 CHAIN. [1], mRNA sequence
Rana_pipiens_Transcript_195678	5.512E-157	AGENCOURT_10493149 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6641967 5', mRNA sequence
Rana_pipiens_Transcript_196103	9.206E-143	AGENCOURT_14214471 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946793 5', mRNA sequence
Rana_pipiens_Transcript_196104	9.096E-154	AGENCOURT_14214471 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946793 5', mRNA sequence
Rana_pipiens_Transcript_196300		not available
Rana_pipiens_Transcript_197356	3.137E-112	DC055748 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk64m10ex 5', mRNA sequence
Rana_pipiens_Transcript_197358	6.88E-109	DC055748 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk64m10ex 5', mRNA sequence
Rana_pipiens_Transcript_197364		not available
Rana_pipiens_Transcript_197700	4.565E-23	DC114990 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl270o10 5', mRNA sequence
Rana_pipiens_Transcript_198725		not available
Rana_pipiens_Transcript_198727		not available
Rana_pipiens_Transcript_198728		not available
Rana_pipiens_Transcript_198948	2.412E-122	xl11052E01F_1378368 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11052E01 5', mRNA sequence
Rana_pipiens_Transcript_200282		not available
Rana_pipiens_Transcript_200876		not available
Rana_pipiens_Transcript_202520	7.294E-130	AGENCOURT_10301042 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:5156242 5', mRNA sequence
Rana_pipiens_Transcript_203714	6.573E-157	AGENCOURT_10301139 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:5156296 5', mRNA sequence
Rana_pipiens_Transcript_203864		not available
Rana_pipiens_Transcript_203866	3.206E-108	xl11052B10F_1374077 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11052B10 5', mRNA sequence
Rana_pipiens_Transcript_204617	6.8E-99	AGENCOURT_11030644 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6861083 5', mRNA sequence
Rana_pipiens_Transcript_204631	1.073E-98	AGENCOURT_11030644 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6861083 5', mRNA sequence
Rana_pipiens_Transcript_204886	6.34E-133	AGENCOURT_10492312 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6640739 5', mRNA sequence
Rana_pipiens_Transcript_205317		not available
Rana_pipiens_Transcript_206041	1.596E-61	xl11009B01R_1374516 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11009B01 3', mRNA sequence
Rana_pipiens_Transcript_207545	0	BX853811 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGp998B058300; IMAGE:3400996 5', mRNA sequence
Rana_pipiens_Transcript_208761		not available
Rana_pipiens_Transcript_209586		not available
Rana_pipiens_Transcript_210342		not available
Rana_pipiens_Transcript_211113	6.571E-173	BJ072996 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL108j11 5', mRNA sequence
Rana_pipiens_Transcript_212168		not available
Rana_pipiens_Transcript_212313	8.438E-132	BP701009 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL500c21ex 5', mRNA sequence
Rana_pipiens_Transcript_216395		not available
Rana_pipiens_Transcript_216398	9.559E-126	xl11058E06F_1379469 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11058E06 5', mRNA sequence
Rana_pipiens_Transcript_217808	5.944E-87	XLTCL107 Cornea-lens transdifferentiation library Xenopus laevis cDNA clone L107 5', mRNA sequence
Rana_pipiens_Transcript_218718	6.068E-130	AGENCOURT_8097556 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5572758 5', mRNA sequence
Rana_pipiens_Transcript_219873	2.136E-169	AGENCOURT_8216873 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4930216 5', mRNA sequence
Rana_pipiens_Transcript_219935		not available
Rana_pipiens_Transcript_224113	3.834E-89	AGENCOURT_10184124 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:6318438 5', mRNA sequence
Rana_pipiens_Transcript_224271	8.124E-139	xl11018B02F_1290118 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11018B02 5', mRNA sequence
Rana_pipiens_Transcript_224400	1.011E-81	AGENCOURT_15523952 NICHD_XGC_Kid1 Xenopus laevis cDNA clone IMAGE:7010506 5', mRNA sequence
Rana_pipiens_Transcript_224612		not available
Rana_pipiens_Transcript_226324	1.152E-147	AGENCOURT_15521031 NICHD_XGC_Kid1 Xenopus laevis cDNA clone IMAGE:7008816 5', mRNA sequence
Rana_pipiens_Transcript_228609		not available
Rana_pipiens_Transcript_228612		not available
Rana_pipiens_Transcript_229693	3.913E-107	BX854072 NICHD_XGC_Li1 Xenopus laevis cDNA clone IMAGp998A168293; IMAGE:3398295 5', mRNA sequence
Rana_pipiens_Transcript_229889		not available
Rana_pipiens_Transcript_230198		not available
Rana_pipiens_Transcript_231122		not available
Rana_pipiens_Transcript_231654	3.915E-122	xl11047E07R_1377460 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11047E07 3', mRNA sequence
Rana_pipiens_Transcript_232281	5.94E-142	AGENCOURT_54833623 NICHD_XGC_Emb9 Xenopus laevis cDNA clone IMAGE:7975990 5', mRNA sequence
Rana_pipiens_Transcript_233599	3.465E-156	AGENCOURT_15211300 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5440023 5', mRNA sequence
Rana_pipiens_Transcript_234697	8.255E-88	DC131668 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl328m03 5', mRNA sequence
Rana_pipiens_Transcript_235962	3.194E-85	xl11060B01F_1379729 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11060B01 5', mRNA sequence
Rana_pipiens_Transcript_236043	1.718E-138	AGENCOURT_10493984 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6640171 5', mRNA sequence
Rana_pipiens_Transcript_236339		not available
Rana_pipiens_Transcript_236345	0.209745	xl11006G03F_1401281 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11006G03 5', mRNA sequence
Rana_pipiens_Transcript_236733	1.847E-176	AGENCOURT_15509314 NICHD_XGC_Kid1 Xenopus laevis cDNA clone IMAGE:7008497 5', mRNA sequence
Rana_pipiens_Transcript_237494		not available
Rana_pipiens_Transcript_240906	3.392E-65	AGENCOURT_55719108 NICHD_XGC_FaBN Xenopus laevis cDNA clone IMAGE:8077788 5', mRNA sequence
Rana_pipiens_Transcript_244055	4.475E-149	BX847052 Wellcome CRC pSK St 10 5 Xenopus laevis cDNA clone IMAGp998J138353; IMAGE:3421548 5', mRNA sequence
Rana_pipiens_Transcript_244058	4.487E-149	BX847052 Wellcome CRC pSK St 10 5 Xenopus laevis cDNA clone IMAGp998J138353; IMAGE:3421548 5', mRNA sequence
Rana_pipiens_Transcript_244460	8.674E-44	xl11002F01F_1400565 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11002F01 5', mRNA sequence
Rana_pipiens_Transcript_244463	8.692E-44	xl11002F01F_1400565 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11002F01 5', mRNA sequence
Rana_pipiens_Transcript_245829	1.152E-32	AGENCOURT_18792157 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7205965 5', mRNA sequence
Rana_pipiens_Transcript_248132	4.175E-157	AGENCOURT_54834314 NICHD_XGC_Emb10 Xenopus laevis cDNA clone IMAGE:7980516 5', mRNA sequence
Rana_pipiens_Transcript_248133	4.17E-157	AGENCOURT_54834314 NICHD_XGC_Emb10 Xenopus laevis cDNA clone IMAGE:7980516 5', mRNA sequence
Rana_pipiens_Transcript_248154	8.837E-154	AGENCOURT_54834314 NICHD_XGC_Emb10 Xenopus laevis cDNA clone IMAGE:7980516 5', mRNA sequence
Rana_pipiens_Transcript_249214	5.372E-86	AGENCOURT_11069826 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6857395 5', mRNA sequence
Rana_pipiens_Transcript_249783	7.769E-37	AGENCOURT_8671037 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4681429 5', mRNA sequence
Rana_pipiens_Transcript_249784	1.941E-16	AGENCOURT_14164868 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGE:6951924 5', mRNA sequence
Rana_pipiens_Transcript_250687		not available
Rana_pipiens_Transcript_253050		not available
Rana_pipiens_Transcript_255312		not available
Rana_pipiens_Transcript_255687	1.155E-153	BX846975 NICHD_XGC_He1 Xenopus laevis cDNA clone IMAGp998E0810126; IMAGE:4408303 5', mRNA sequence
Rana_pipiens_Transcript_257446		not available
Rana_pipiens_Transcript_259190		not available
Rana_pipiens_Transcript_259305	9.466E-164	DC051709 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk149p04ex 5', mRNA sequence
Rana_pipiens_Transcript_260340	5.587E-167	AGENCOURT_11041807 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6865921 5', mRNA sequence
Rana_pipiens_Transcript_260350	5.698E-167	AGENCOURT_11041807 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6865921 5', mRNA sequence
Rana_pipiens_Transcript_262285	1.507E-37	AGENCOURT_14214434 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946549 5', mRNA sequence
Rana_pipiens_Transcript_267005		not available
Rana_pipiens_Transcript_267592		not available
Rana_pipiens_Transcript_268195	9.867E-43	xl11023H01R_1375910 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11023H01 3', mRNA sequence
Rana_pipiens_Transcript_269056		not available
Rana_pipiens_Transcript_271532	1.301E-101	AGENCOURT_18789587 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7202019 5', mRNA sequence
Rana_pipiens_Transcript_273262	5.895E-29	DC059715 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone xlk76c21ex 5', mRNA sequence
Rana_pipiens_Transcript_276181	3.537E-108	AGENCOURT_14235966 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959539 5', mRNA sequence
Rana_pipiens_Transcript_279223	8.992E-138	BP681665 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL438g16ex 5', mRNA sequence
Rana_pipiens_Transcript_279741		not available
Rana_pipiens_Transcript_280338	3.191E-81	AGENCOURT_15200552 NICHD_XGC_Sp1 Xenopus laevis cDNA clone IMAGE:5511566 5', mRNA sequence
Rana_pipiens_Transcript_280614		not available
Rana_pipiens_Transcript_281853	1.311E-105	BX844017 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGp998C2210618; IMAGE:4755405 5', mRNA sequence
Rana_pipiens_Transcript_283337		not available
Rana_pipiens_Transcript_284060	8.619E-127	BX845845 Cho Li treated gastrula Xenopus laevis cDNA clone IMAGp998L249037; IMAGE:3750695 5', mRNA sequence
Rana_pipiens_Transcript_285801		not available
Rana_pipiens_Transcript_286974		not available
Rana_pipiens_Transcript_286975		not available
Rana_pipiens_Transcript_287482	3.827E-167	AGENCOURT_8222709 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:5537371 5', mRNA sequence
Rana_pipiens_Transcript_288378	7.637E-169	AGENCOURT_10492588 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6642748 5', mRNA sequence
Rana_pipiens_Transcript_291945	5.558E-108	AGENCOURT_18791371 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7204068 5', mRNA sequence
Rana_pipiens_Transcript_294253	3.641E-47	xl11019E07F_1290256 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11019E07 5', mRNA sequence
